Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
1,Sms,"Yes, but at regular price",Once/twice in 6 months,,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Quality of the service,"Yes, at a discounted price",Cash discounts,Cashback offer,Coupons,Yes,Monthly unlimited,Facebook,WhatsApp,YouTube,Up to 500,Once/twice in 6 months,Electronic gadgets,,,"701 - 1,000",Up to 10%,Easy to use mobile app,Call center facilities,High Security ,No,,,,Description of the product/service is not detailed,No option for seat selection,Over price,Maybe,Easy to make payment/Convenient,Don't have to travel,Last minute deals,SnapTap,Cash delivered,Mobile balance top up,Internet balance top up,Male,21-30 years,Millennials,Student,,Not employed,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I like to explore new things
2,Phone call,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,,I prefer having chocolates/ice-creams,"1,001-2,000",Environment,"Yes, at a discounted price",Cash discounts,Cashback offer,Coupons,Yes,Monthly Limited,Facebook,Ecommerce apps,Food ordering apps,"1,001 - 2,000",Once/twice in 6 months,Cloths,Electronic gadgets,Food,"701 - 1,000",Up to 10%,Easy to use mobile app,Call center facilities,High Security ,No,,,,Can't find what is being looked for,Description of the product/service is not detailed,Over price,Maybe,Attractive discounts,Efficient customer service,Reliable call center service,Chime,Cash delivered,Mobile balance top up,Internet balance top up,Male,21-30 years,Millennials,Employed,Own Business,Manufacturing,Single with no kid,Dhanmondi,"50,001-100,000",Emerging,I like to explore new things
3,Sms,"Yes, at a discounted price",Once/twice in 6 months,Never,,I prefer having tea/coffee,"501-1,000",Safety,No,Cash discounts,Internet balance top up,Cashback offer,At times,Monthly unlimited,Facebook,WhatsApp,YouTube,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,Electronic gadgets,"2,001 - 3,000",11-30%,Easy to use mobile app,Longer transaction time-out,,Maybe,I am more comfortable visiting physically,Less option to choose from,No option for seat selection,I purchase online,Less option to choose from,Love the touch and feel,Maybe,Attractive discounts,Easy to make payment/Convenient,,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,21-30 years,Millennials,Student,Not Applicable,Engineer,Single with no kid,Gulshan,"50,001-100,000",Emerging,I like to explore new things
4,Email,"Yes, at a discounted price",Once a month,Never,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Quality of the service,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Coupons,Yes,Monthly unlimited,Facebook,Viber,Twitter,"More than 3,000",Once/twice in 6 months,Cloths,Furniture,Food,"1,001 - 2,000",31-50%,Easy to use mobile app,Longer transaction time-out,,Maybe,,,,I purchase online,Lack of discount/offers,No bargaining facility,Yes,Don't have to travel,Easy to make payment/Convenient,,Chime,Bank Account,Cash delivered,Concession on the next purchase,Male,21-30 years,Millennials,Employed,Own Business,Engineer,Single with no kid,Uttara,"Up to 50,000",Aspirant,I like to explore new things
5,I don't prefer,"Yes, at a discounted price",Never,Never,Once/twice in a year,I prefer complementary meal/food service,Up to 500,Price,"Yes, at a discounted price",Cash discounts,Internet balance top up,Coupons,At times,Monthly Limited,Facebook,Imo,Viber,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,Chatting services,Maybe,,,,Finds it complicated,Lack of discount/offers,No bargaining facility,Maybe,Easy to make payment/Convenient,Don't have to travel,Last minute deals,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Female,31-40 years,Gen X,Homemaker,Not Applicable,Not employed,Married with 1 kid,Uttara,"50,001-100,000",Emerging,I love the touch and feel of the product while shopping
6,Phone call,"Yes, but at regular price",Never,Never,Never,I prefer having tea/coffee,"2,001-3,000",Size of the room,"Yes, at regular price",Cash discounts,Mobile Talk time top up,Internet balance top up,At times,Monthly unlimited,Facebook,YouTube,Imo,"1,001 - 2,000",Once a month,Cloths,Accessories,Electronic gadgets,"More than 3,000",11-30%,Easy to use mobile app,Call center facilities,More privacy assurance,Maybe,No bargaining option,It is not safe to transact online,,I purchase online,Payment is difficult,Can't tell if the product is genuine,Yes,Attractive discounts,Don't have to travel,,Chime,Bank Account,Cash delivered,Mobile balance top up,Female,31-40 years,Gen X,Homemaker,Not Applicable,Not employed,Married with more than 1 kid,Uttara,"Up to 50,000",Aspirant,I like to explore new things
7,Email,"Yes, at a discounted price",Once a month,,,I prefer having tea/coffee,"1,001-2,000",Size of the room,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Mobile Talk time top up,Yes,Pay as you go,Facebook,YouTube,Imo,500 - 700,Once/twice in a year,Electronic gadgets,,,"1,001 - 2,000",Up to 10%,More privacy assurance,High Security ,Longer transaction time-out,No,,,,Cannot trust online transaction,Less option to choose from,Lack of discount/offers,Maybe,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,Chime,Bank Account,Cash delivered,Mobile balance top up,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Single with no kid,Malibag,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
8,Phone call,"Yes, but at regular price",Once/twice in 6 months,,Once/twice in a year,I prefer having tea/coffee,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Internet balance top up,Coupons,Yes,Monthly unlimited,Facebook,WhatsApp,YouTube,500 - 700,Once/twice in 6 months,Cloths,Electronic gadgets,Commodity,"701 - 1,000",11-30%,High Security ,Easy to use mobile app,,No,,,,Poor customer service,Description of the product/service is not detailed,Love the touch and feel,Maybe,Easy to make payment/Convenient,Attractive discounts,Last minute deals,Chime,Bank Account,Mobile balance top up,Internet balance top up,Male,21-30 years,Millennials,Employed,Private - For Profit,Manufacturing,Single with no kid,Malibag,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
9,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Coupons,Yes,Monthly Limited,Facebook,WhatsApp,Instagram,500 - 700,Once a month,Cloths,Commodity,Food,"701 - 1,000",11-30%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,I find the technology difficult and it will not be easier in the future,It is not safe to transact online,No option for seat selection,I purchase online,Cannot trust online transaction,Description of the product/service is not detailed,Maybe,Easy to make payment/Convenient,Reliable call center service,Don't have to travel,SnapTap,Cash delivered,Mobile balance top up,Internet balance top up,Male,21-30 years,Millennials,Student,,,Single with no kid,Malibag,"Up to 50,000",Aspirant,I find adapting to new technology difficult
10,Email,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in a year,Once/twice in a year,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,"501-1,000",Environment,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly unlimited,Facebook,Instagram,Gaming apps,"1,001 - 2,000",Once a month,Cloths,Commodity,Food,"1,001 - 2,000",11-30%,Call center facilities,Longer transaction time-out,Easy to use mobile app,No,,,,Can't find what is being looked for,Poor customer service,Lack of discount/offers,Maybe,Don't have to travel,Efficient customer service,,PayUp,Bank Account,Mobile balance top up,Internet balance top up,Male,21-30 years,Millennials,Student,,,Single with no kid,Malibag,"Up to 50,000",Aspirant,I use internet mainly for socialization
